DATE,REGION,FATAL,SERIOUS,NOINJURY,OTHER
5/07/2016,EASTERN REGION,0,1,0,3
6/07/2016,EASTERN REGION,0,0,0,3
7/07/2016,EASTERN REGION,0,2,0,2
8/07/2016,EASTERN REGION,0,1,0,1
9/07/2016,EASTERN REGION,0,3,0,1
10/07/2016,EASTERN REGION,0,0,0,1
11/07/2016,EASTERN REGION,0,1,0,3
12/07/2016,EASTERN REGION,0,0,0,1
13/07/2016,EASTERN REGION,0,1,0,4
14/07/2016,EASTERN REGION,0,1,0,4
15/07/2016,EASTERN REGION,0,1,0,2
16/07/2016,EASTERN REGION,1,4,0,2
17/07/2016,EASTERN REGION,0,2,0,2
18/07/2016,EASTERN REGION,0,1,0,3
19/07/2016,EASTERN REGION,0,1,0,1
20/07/2016,EASTERN REGION,0,2,0,2
21/07/2016,EASTERN REGION,0,0,0,1
22/07/2016,EASTERN REGION,0,0,0,0
23/07/2016,EASTERN REGION,1,2,0,1
24/07/2016,EASTERN REGION,1,2,0,4
25/07/2016,EASTERN REGION,0,2,0,4
26/07/2016,EASTERN REGION,0,0,0,0
27/07/2016,EASTERN REGION,1,0,0,1
28/07/2016,EASTERN REGION,0,1,0,2
29/07/2016,EASTERN REGION,0,1,0,1
30/07/2016,EASTERN REGION,0,0,0,3
31/07/2016,EASTERN REGION,0,3,0,1
1/08/2016,EASTERN REGION,0,2,0,1
2/08/2016,EASTERN REGION,0,1,0,0
3/08/2016,EASTERN REGION,0,1,0,1
4/08/2016,EASTERN REGION,0,1,0,2
5/08/2016,EASTERN REGION,0,1,0,0
6/08/2016,EASTERN REGION,0,2,0,1
7/08/2016,EASTERN REGION,0,0,0,2
8/08/2016,EASTERN REGION,0,0,0,2
9/08/2016,EASTERN REGION,0,0,0,1
10/08/2016,EASTERN REGION,0,0,0,0
11/08/2016,EASTERN REGION,0,0,0,1
12/08/2016,EASTERN REGION,0,1,0,1
13/08/2016,EASTERN REGION,0,2,0,5
14/08/2016,EASTERN REGION,0,1,0,2
15/08/2016,EASTERN REGION,0,1,0,0
16/08/2016,EASTERN REGION,0,1,0,2
17/08/2016,EASTERN REGION,0,0,0,3
18/08/2016,EASTERN REGION,0,2,0,1
19/08/2016,EASTERN REGION,0,1,0,2
20/08/2016,EASTERN REGION,0,0,0,2
21/08/2016,EASTERN REGION,0,2,0,4
22/08/2016,EASTERN REGION,1,0,0,1
23/08/2016,EASTERN REGION,0,0,0,2
24/08/2016,EASTERN REGION,0,0,0,1
25/08/2016,EASTERN REGION,0,3,0,2
